date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:00	11715/11715	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2009:01:53%20GMT	https://alphafloris.webflow.io/corporate	/home/abdisa/Desktop/catman/alphafloris.webflow.io/corporate.html	(from )
12:05:01	20/20	---M-Z	200	added ('OK')	text/plain	date:Fri,%2007%20Apr%202023%2009:01:56%20GMT	https://alphafloris.webflow.io/robots.txt		(from )
12:05:03	93677/93677	---M-Z	200	added ('OK')	text/css	etag:%229bad3a787816884267576663d5e5c23f%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/css/alphafloris.webflow.0dd590fa2.min.css	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/css/alphafloris.webflow.0dd590fa2.min.css	(from https://alphafloris.webflow.io/corporate)
12:05:05	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	/home/abdisa/Desktop/catman/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://alphafloris.webflow.io/corporate)
12:05:05	961/961	---M--	200	added ('OK')	image/png	etag:%2215b1416d2dd8c033e68c15a6af4c8ff1%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/5f0dc53e0da52e0e044c0301_favicon.png	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/5f0dc53e0da52e0e044c0301_favicon.png	(from https://alphafloris.webflow.io/corporate)
12:05:06	9374/9374	---M--	200	added ('OK')	image/png	etag:%228e4c9cd9111fd372735439491e423de0%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/5f0dc54dbb986248fb6570a8_webclip.png	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/5f0dc54dbb986248fb6570a8_webclip.png	(from https://alphafloris.webflow.io/corporate)
12:05:08	27952/27952	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211751a01ffe01e12c44460eb521312cb%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/5d6440ac346aae25077e7089_logo-white.svg	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/5d6440ac346aae25077e7089_logo-white.svg	(from https://alphafloris.webflow.io/corporate)
12:05:08	17406/17406	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2009:02:03%20GMT	https://alphafloris.webflow.io/	/home/abdisa/Desktop/catman/alphafloris.webflow.io/index.html	(from https://alphafloris.webflow.io/corporate)
12:05:09	11714/11714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dabe1d86a98016729d96fde0f431d894%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/5d67dbfdec501a4242c963f6_logo-w-small.svg	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/5d67dbfdec501a4242c963f6_logo-w-small.svg	(from https://alphafloris.webflow.io/corporate)
12:05:09	11164/11164	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2009:02:04%20GMT	https://alphafloris.webflow.io/about	/home/abdisa/Desktop/catman/alphafloris.webflow.io/about.html	(from https://alphafloris.webflow.io/corporate)
12:05:10	12091/12091	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2009:02:05%20GMT	https://alphafloris.webflow.io/weddings	/home/abdisa/Desktop/catman/alphafloris.webflow.io/weddings.html	(from https://alphafloris.webflow.io/corporate)
12:05:11	912/912	---M--	200	added ('OK')	image/svg+xml	etag:%2298f8f85f354ea4f1ee0e80e2b770c6c5%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/5d644041f9dc900e4ddc4738_down-arrow-white.svg	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/5d644041f9dc900e4ddc4738_down-arrow-white.svg	(from https://alphafloris.webflow.io/corporate)
12:05:12	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2007%20Apr%202023%2009:02:07%20GMT	https://alphafloris.webflow.io/anniversaries	/home/abdisa/Desktop/catman/alphafloris.webflow.io/anniversaries	(from https://alphafloris.webflow.io/corporate)
12:05:13	914/914	---M--	200	added ('OK')	image/svg+xml	etag:%227e4116fdf089781d7a04d2d4804189d1%22	https://assets.website-files.com/5d48378fbaced7a2a7d6b013/5d602f2ba7638fe14b52f75a_down-arrow.svg	/home/abdisa/Desktop/catman/assets.website-files.com/5d48378fbaced7a2a7d6b013/5d602f2ba7638fe14b52f75a_down-arrow.svg	(from https://alphafloris.webflow.io/corporate)
